Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-10-27,Scream,1996,https://boxd.it/2ePSaX,4,Yes,"Scream was actually the first slasher movie that I had ever watched. It was a weird choice considering the fact that the whole movie was also a Satire making fun of the clichés of the horror/slasher genre, and I went into it without prior knowledge of slashers. Not a lot of whodunit's have great rewatch quality. But Scream does. Watching the movie after knowing the identity of the killer and noticing the little clues and foreshadowing is awesome. It's a great film in terms of being a slasher too. As characters are aware of slasher movies and their clichés, there's a lot of great meta moments (I love meta).",,2021-10-27
2021-10-27,Dune,2021,https://boxd.it/2ePSRR,2.5,,Hoping that the sequel will help change the disappointment I felt over the first part.,,2021-10-27
2021-10-29,No Time to Die,2021,https://boxd.it/2fasyB,4,,"I had watched the previous films of the Daniel Craig Bond series before No Time To Die. The film is indeed a great conclusion to his journey. I understood why some of the choices made in it might've irked some people. But in the end, as a fan, it was a great farewell. I had to rewatch the first act of Casino Royale to get over this movie though. 😌",,2021-10-29
2021-12-30,Atrangi Re,2021,https://boxd.it/2pEfHP,2,,The way they portray mental health in this movie is atrocious. Great performances and music though. Also surprising to see Akshay Kumar in something that's not aligned to Sangh politics.,,2021-12-30
2021-12-30,Minnal Murali,2021,https://boxd.it/2pEg6b,4,,Super Super!,,2021-12-30
2021-12-30,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/2pEgKZ,5,,It's like we're taking a trip through the imagination of this absolute genius.,,2021-12-30
2021-12-30,The Matrix Resurrections,2021,https://boxd.it/2pEhyb,3.5,,"When nostalgia towards the source material is used or perhaps twisted to create something familiar and yet new, you get something like The Matrix Resurrections. It builds upon the aspect of questioning one's own reality which was explored in the first movie and smartly ties up The Matrix with life and pop culture in the present day. It occasionally reminded me of the crazy ideas that we see in Rick and Morty episodes, and that's a compliment.

A must watch for fans of the original.",,2021-12-30
2021-12-30,Don't Look Up,2021,https://boxd.it/2pEhXZ,3.5,,I laughed a lot and enjoyed it.,,2021-12-30
2021-12-30,Spider-Man: No Way Home,2021,https://boxd.it/2pEiAR,4,,"I do have some issues with it, but still.. Whoa.",,2021-12-16
2021-12-30,C'mon C'mon,2021,https://boxd.it/2pEiZd,4.5,,Simple. Sweet. Beautiful. Brilliant.,,2021-12-30
2021-12-30,I Am Mother,2019,https://boxd.it/2pEjZj,3.5,,"Familiar, but still suspenseful and intriguing.",,2021-12-30
2021-12-30,"tick, tick... BOOM!",2021,https://boxd.it/2pElJd,4,,It's not just a biopic. I think everyone in their 20s who's taking the risk of trying to achieve success through art instead of pursuing a safe career will connect with it.,,2021-12-30
2021-12-31,Keshu Ee Veedinte Nadhan,2021,https://boxd.it/2pWumN,0.5,,Shite.,,2021-12-31
2022-01-01,Silence,2016,https://boxd.it/2q1Nsv,4.5,,Powerful stuff!,,2021-12-31
2022-01-12,Titane,2021,https://boxd.it/2tbkb3,,,I guess I don't have the stomach for body horror now. I couldn't finish it. Will revisit once I'm in the right mind.,,2022-01-12
2022-01-15,Garuda Gamana Vrishabha Vahana,2021,https://boxd.it/2tWABv,3.5,,There were lots of really cool scenes and moments. The music was amazing. The shitty English subtitles took me out of the movie several times though.,,2022-01-15
2022-01-16,The Tragedy of Macbeth,2021,https://boxd.it/2ub67l,5,,"Masterfully made and brilliantly acted. Each frame looks so meticulously crafted. The entire film looks so gorgeous and unique. The score was so haunting and is still playing in my head. And Denzel!! Chills, literal chills. 

I'll admit that I struggled with the Shakespearean dialogue. I'll blame myself for that. Brilliant movie nonetheless.",,2022-01-16
2022-01-16,Pushpa: The Rise,2021,https://boxd.it/2uc0KN,2,,"Saamye, why Saamye?",,2022-01-16
2022-01-16,Eternals,2021,https://boxd.it/2ucQd7,3,,Mehternals,,2022-01-16
